title,artist,emotion,lyrics,youtube_url
Electric Dreams 11,Solar Rain,happy,Tears fall in rhythm with the rain,https://youtube.com/watch?v=264325
Shadows Fade 37,The Dreamers,sad,Rage like a thunderstorm inside,https://youtube.com/watch?v=287879
Crimson Sky 36,Twilight Rush,relaxed,Chasing echoes of your name,https://youtube.com/watch?v=278912
Whispers of Time 48,Static Flow,angry,I walk alone through shattered dreams,https://youtube.com/watch?v=881751
Shadows Fade 86,Neon Drift,relaxed,I walk alone through shattered dreams,https://youtube.com/watch?v=392314
Frostbite Heart 85,Neon Drift,excited,Let the silence speak tonight,https://youtube.com/watch?v=409363
Golden Hour 97,The Dreamers,sad,Tears fall in rhythm with the rain,https://youtube.com/watch?v=458890
Whispers of Time 94,Lunar Bloom,neutral,Rage like a thunderstorm inside,https://youtube.com/watch?v=913768
Midnight Ride 45,Lunar Bloom,excited,Let the silence speak tonight,https://youtube.com/watch?v=321915
Electric Dreams 95,Echoes,sad,Chasing echoes of your name,https://youtube.com/watch?v=655184
Silent Echo 49,Solar Rain,sad,Sunrise paints the pain away,https://youtube.com/watch?v=284407
Golden Hour 89,Stargazers,sad,Peace in the quiet of your touch,https://youtube.com/watch?v=728760
Lost in Light 65,The Dreamers,relaxed,Chasing echoes of your name,https://youtube.com/watch?v=930128
Shadows Fade 4,The Dreamers,angry,Peace in the quiet of your touch,https://youtube.com/watch?v=267943
Lost in Light 60,Neon Drift,neutral,Rage like a thunderstorm inside,https://youtube.com/watch?v=718183
Lost in Light 61,The Dreamers,neutral,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=463593
Frostbite Heart 77,Twilight Rush,sad,Let the silence speak tonight,https://youtube.com/watch?v=937809
Lost in Light 25,Neon Drift,relaxed,I walk alone through shattered dreams,https://youtube.com/watch?v=383078
Burning Horizon 53,The Dreamers,happy,Rage like a thunderstorm inside,https://youtube.com/watch?v=393564
Electric Dreams 71,The Dreamers,angry,I walk alone through shattered dreams,https://youtube.com/watch?v=584469
Frostbite Heart 50,Neon Drift,relaxed,Tears fall in rhythm with the rain,https://youtube.com/watch?v=878199
Burning Horizon 65,Twilight Rush,neutral,Rage like a thunderstorm inside,https://youtube.com/watch?v=964606
Whispers of Time 75,Echoes,relaxed,Sunrise paints the pain away,https://youtube.com/watch?v=378865
Electric Dreams 44,The Dreamers,sad,Peace in the quiet of your touch,https://youtube.com/watch?v=412476
Frostbite Heart 95,The Dreamers,happy,Hearts collide like galaxies,https://youtube.com/watch?v=619238
Electric Dreams 31,Twilight Rush,happy,Peace in the quiet of your touch,https://youtube.com/watch?v=861715
Burning Horizon 1,Lunar Bloom,sad,Tears fall in rhythm with the rain,https://youtube.com/watch?v=163097
Silent Echo 79,Twilight Rush,neutral,Peace in the quiet of your touch,https://youtube.com/watch?v=401258
Electric Dreams 94,Twilight Rush,angry,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=865579
Silent Echo 2,Stargazers,angry,I walk alone through shattered dreams,https://youtube.com/watch?v=947990
Celestial Pulse 1,Neon Drift,happy,Tears fall in rhythm with the rain,https://youtube.com/watch?v=394660
Lost in Light 16,The Dreamers,relaxed,Sunrise paints the pain away,https://youtube.com/watch?v=716110
Whispers of Time 91,The Dreamers,angry,Let the silence speak tonight,https://youtube.com/watch?v=132721
Burning Horizon 13,The Dreamers,neutral,Sunrise paints the pain away,https://youtube.com/watch?v=572256
Midnight Ride 45,Twilight Rush,sad,Tears fall in rhythm with the rain,https://youtube.com/watch?v=640952
Shadows Fade 23,The Dreamers,neutral,Rage like a thunderstorm inside,https://youtube.com/watch?v=136775
Silent Echo 55,Neon Drift,excited,Sunrise paints the pain away,https://youtube.com/watch?v=532589
Silent Echo 88,Neon Drift,neutral,Peace in the quiet of your touch,https://youtube.com/watch?v=651946
Burning Horizon 29,Echoes,relaxed,Rage like a thunderstorm inside,https://youtube.com/watch?v=986495
Velvet Moon 30,Echoes,sad,Tears fall in rhythm with the rain,https://youtube.com/watch?v=105241
Burning Horizon 59,Twilight Rush,happy,Sunrise paints the pain away,https://youtube.com/watch?v=463586
Midnight Ride 7,Static Flow,neutral,Sunrise paints the pain away,https://youtube.com/watch?v=719095
Shadows Fade 72,Static Flow,relaxed,Rage like a thunderstorm inside,https://youtube.com/watch?v=328818
Electric Dreams 83,Echoes,happy,Hearts collide like galaxies,https://youtube.com/watch?v=407247
Midnight Ride 17,Solar Rain,sad,Sunrise paints the pain away,https://youtube.com/watch?v=451737
Celestial Pulse 60,Stargazers,happy,"Dance under stars, wild and free",https://youtube.com/watch?v=800465
Frostbite Heart 66,Lunar Bloom,happy,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=178517
Celestial Pulse 77,Twilight Rush,relaxed,Peace in the quiet of your touch,https://youtube.com/watch?v=417885
Frostbite Heart 36,Neon Drift,sad,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=812358
Crimson Sky 30,Echoes,happy,Tears fall in rhythm with the rain,https://youtube.com/watch?v=887717
Crimson Sky 90,Static Flow,neutral,Let the silence speak tonight,https://youtube.com/watch?v=700557
Silent Echo 13,Echoes,relaxed,Rage like a thunderstorm inside,https://youtube.com/watch?v=868437
Midnight Ride 41,Twilight Rush,sad,Hearts collide like galaxies,https://youtube.com/watch?v=872465
Golden Hour 95,The Dreamers,excited,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=191507
Velvet Moon 42,Neon Drift,angry,Hearts collide like galaxies,https://youtube.com/watch?v=451775
Frostbite Heart 38,Twilight Rush,relaxed,Peace in the quiet of your touch,https://youtube.com/watch?v=503972
Shadows Fade 47,Lunar Bloom,sad,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=827520
Celestial Pulse 42,Twilight Rush,happy,Peace in the quiet of your touch,https://youtube.com/watch?v=644831
Whispers of Time 90,The Dreamers,happy,Tears fall in rhythm with the rain,https://youtube.com/watch?v=787970
Velvet Moon 88,Twilight Rush,angry,Chasing echoes of your name,https://youtube.com/watch?v=215633
Midnight Ride 95,Static Flow,angry,Let the silence speak tonight,https://youtube.com/watch?v=935586
Crimson Sky 53,The Dreamers,excited,Rage like a thunderstorm inside,https://youtube.com/watch?v=868603
Lost in Light 16,Neon Drift,angry,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=150533
Celestial Pulse 92,Solar Rain,excited,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=335586
Lost in Light 34,Solar Rain,excited,Hearts collide like galaxies,https://youtube.com/watch?v=313804
Shadows Fade 28,Solar Rain,neutral,Rage like a thunderstorm inside,https://youtube.com/watch?v=906850
Golden Hour 7,Lunar Bloom,angry,Sunrise paints the pain away,https://youtube.com/watch?v=984464
Silent Echo 40,Stargazers,relaxed,Tears fall in rhythm with the rain,https://youtube.com/watch?v=132670
Velvet Moon 17,Echoes,relaxed,I walk alone through shattered dreams,https://youtube.com/watch?v=882786
Midnight Ride 61,Twilight Rush,neutral,Hearts collide like galaxies,https://youtube.com/watch?v=102501
Celestial Pulse 12,Lunar Bloom,sad,"Dance under stars, wild and free",https://youtube.com/watch?v=287076
Velvet Moon 47,Static Flow,sad,Hearts collide like galaxies,https://youtube.com/watch?v=799537
Golden Hour 63,Lunar Bloom,relaxed,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=540645
Silent Echo 39,The Dreamers,excited,Peace in the quiet of your touch,https://youtube.com/watch?v=164043
Crimson Sky 32,Echoes,excited,Let the silence speak tonight,https://youtube.com/watch?v=342141
Frostbite Heart 29,Neon Drift,relaxed,Rage like a thunderstorm inside,https://youtube.com/watch?v=262892
Shadows Fade 9,Neon Drift,happy,Chasing echoes of your name,https://youtube.com/watch?v=616918
Midnight Ride 93,Twilight Rush,sad,Peace in the quiet of your touch,https://youtube.com/watch?v=838426
Whispers of Time 1,Neon Drift,happy,"Dance under stars, wild and free",https://youtube.com/watch?v=328021
Silent Echo 41,Lunar Bloom,relaxed,Tears fall in rhythm with the rain,https://youtube.com/watch?v=645057
Frostbite Heart 25,The Dreamers,sad,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=559533
Celestial Pulse 87,Twilight Rush,happy,Hearts collide like galaxies,https://youtube.com/watch?v=452638
Electric Dreams 51,Twilight Rush,relaxed,Tears fall in rhythm with the rain,https://youtube.com/watch?v=590064
Crimson Sky 99,Lunar Bloom,angry,Peace in the quiet of your touch,https://youtube.com/watch?v=155164
Burning Horizon 18,Stargazers,relaxed,Chasing echoes of your name,https://youtube.com/watch?v=866498
Crimson Sky 41,Neon Drift,sad,Let the silence speak tonight,https://youtube.com/watch?v=722854
Golden Hour 57,Twilight Rush,angry,Let the silence speak tonight,https://youtube.com/watch?v=838272
Silent Echo 88,The Dreamers,relaxed,Hearts collide like galaxies,https://youtube.com/watch?v=129933
Burning Horizon 60,Neon Drift,neutral,I walk alone through shattered dreams,https://youtube.com/watch?v=591370
Shadows Fade 87,Stargazers,happy,"Dance under stars, wild and free",https://youtube.com/watch?v=569353
Celestial Pulse 18,Solar Rain,excited,"Fire in my soul, nothing to lose",https://youtube.com/watch?v=898167
Whispers of Time 61,Echoes,angry,Let the silence speak tonight,https://youtube.com/watch?v=937583
Golden Hour 35,The Dreamers,neutral,I walk alone through shattered dreams,https://youtube.com/watch?v=648204
Shadows Fade 78,Static Flow,relaxed,Rage like a thunderstorm inside,https://youtube.com/watch?v=974818
Celestial Pulse 83,Lunar Bloom,happy,Rage like a thunderstorm inside,https://youtube.com/watch?v=826728
Lost in Light 58,Solar Rain,excited,Hearts collide like galaxies,https://youtube.com/watch?v=445510
